name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
General Dynamics Corp,GD,369550108,79450.0,20934280.5,1.9410822962,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Southwest Airlines Co,LUV,844741108,3457661.0,116246562.82,10.778691204,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
International Consolidated Air,IAG,N/A,2998696.0,11333470.9,1.0508696355,GB,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,N/A,833311.0,5018029.85,0.4652851052,TR,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Bombardier Inc,BBD/B,097751861,291297.0,19808885.0,1.8367326253,CA,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
JetBlue Airways Corp,JBLU,477143101,4765922.0,37460146.92,3.4734046866,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
SkyWest Inc,SKYW,830879102,302238.0,30263090.94,2.8060744697,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
easyJet PLC,EZJ,N/A,726227.0,5091289.58,0.4720779426,GB,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Allegiant Travel Co,ALGT,01748X102,390578.0,36761201.36,3.408596591,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Booking Holdings Inc,BKNG,09857L108,4136.0,20549385.12,1.9053937705,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Embraer SA,ERJ,29082A107,145991.0,5354949.88,0.4965252285,BR,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Qantas Airways Ltd,QAN,N/A,1872851.0,10398030.17,0.9641330773,AU,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,235419.0,10261914.21,0.9515120426,IE,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Sun Country Airlines Holdings,SNCY,866683105,2199744.0,32072267.52,2.9738261452,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Expedia Group Inc,EXPE,30212P303,114649.0,21362548.17,1.9807924163,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Frontier Group Holdings Inc,ULCC,35909R108,5367750.0,38164702.5,3.5387329583,US,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Grupo Aeroportuario del Surest,ASR,40051E202,20711.0,5335774.93,0.494747276,MX,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Japan Airport Terminal Co Ltd,9706,N/A,161865.0,5143633.42,0.476931403,JP,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Turk Hava Yollari AO,THYAO,N/A,1254041.0,9962413.84,0.9237415698,TR,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Flughafen Zurich AG,FHZN,N/A,21480.0,5150182.36,0.4775386382,CH,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Copa Holdings SA,CPA,N/A,60880.0,5350134.4,0.4960787244,PA,2024-12-31,2025-02-28,0001145549-25-015227,2024_Q4,NPORT-P
Alaska Air Group Inc,ALK,011659109,756806.0,34215199.26,3.1071182281,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Allegiant Travel Co,ALGT,01748X102,741429.0,40823080.74,3.7071868946,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
American Airlines Group Inc,AAL,02376R102,9088188.0,102151233.12,9.2764609095,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Boeing Co/The,BA,097023105,123802.0,18822856.08,1.7093233562,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Booking Holdings Inc,BKNG,09857L108,5218.0,21978842.16,1.9959217711,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Delta Air Lines Inc,DAL,247361702,2290902.0,116354912.58,10.5663119789,US,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Airbus SE,AIR,N/A,69753.0,10188666.62,0.9252435309,FR,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
Deutsche Lufthansa AG,LHA,N/A,1574640.0,11533512.77,1.0473704242,DE,2024-09-30,2024-11-29,0001145549-24-077360,2024_Q3,NPORT-P
